experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,1,82,0.9720865058117225,1.201471879862357,0.26748411569452196,0.2777777777777778,0.2825838008685213,0.5999999999999999
Plain + GAP,1,83,0.9787303465528784,1.2470939090286477,0.2608389795677388,0.26632522407170295,0.29080347825162,0.5499999999999999
Plain + GAP,1,84,0.9793727780083272,1.283360294673754,0.25495617331683823,0.22093023255813954,0.2891456407068539,0.49999999999999994
Plain + GAP,1,85,0.9697719184861592,1.1700211936149045,0.2810562186704437,0.2924281984334204,0.2854733027418478,0.5499999999999999
Plain + GAP,1,86,0.9888649068243517,1.2117403227349985,0.27839297673558067,0.26631853785900783,0.2942072972485963,0.5499999999999999
Plain + GAP,1,87,0.956033979608713,1.3313851494720017,0.2275633386637393,0.1958041958041958,0.2746381075552795,0.39999999999999997
Plain + GAP,1,88,0.9763233307715105,1.2452736980673196,0.26180244861558155,0.28152492668621704,0.28490612921266917,0.5499999999999999
Plain + GAP,1,89,0.9733760812894894,1.1916659759438557,0.28271656422848057,0.28256880733944956,0.3043500654145693,0.6499999999999999
Plain + GAP,1,90,0.9639320560274662,1.1772826478101206,0.2838163054279329,0.30638297872340425,0.2894565805427687,0.5499999999999999
Plain + GAP,1,91,0.9633092253803122,1.282090677731279,0.2521084138308747,0.25,0.30289834376147307,0.5499999999999999
Plain + GAP,1,92,0.95353252727043,1.1886671263238657,0.29442716928617363,0.30016863406408095,0.29269246518571473,0.5999999999999999
Plain + GAP,1,93,0.9516374650114439,1.2247742829115495,0.28927926593809006,0.2912280701754386,0.3128855595501598,0.6499999999999999
Plain + GAP,1,94,0.9524496840431825,1.224354650663293,0.26311652226853943,0.274442538593482,0.28240528337112347,0.5999999999999999
Plain + GAP,1,95,0.9608504786300311,1.1952360695686892,0.2805459766878486,0.24930747922437674,0.3127105538938266,0.5999999999999999
